iter	Passed	Remaining
0	135	135803
1	137	68397
2	137	45852
3	139	34643
4	140	27912
5	141	23457
6	142	20247
7	144	17875
8	145	16005
9	146	14508
10	147	13252
11	148	12249
12	149	11370
13	150	10632
14	152	9981
15	153	9433
16	154	8917
17	155	8477
18	156	8093
19	158	7745
20	159	7433
21	160	7140
22	161	6877
23	163	6633
24	164	6414
25	165	6207
26	166	6015
27	168	5843
28	169	5679
29	170	5520
30	172	5376
31	173	5239
32	174	5115
33	175	4997
34	177	4885
35	178	4777
36	179	4676
37	180	4577
38	182	4484
39	183	4400
40	184	4319
41	185	4237
42	187	4166
43	188	4091
44	189	4026
45	191	3961
46	192	3897
47	193	3837
48	194	3781
49	196	3724
50	197	3674
51	198	3624
52	200	3578
53	201	3531
54	202	3481
55	203	3427
56	204	3386
57	205	3339
58	206	3292
59	207	3254
60	209	3219
61	210	3186
62	212	3153
63	213	3122
64	214	3089
65	216	3057
66	217	3027
67	218	2996
68	219	2965
69	220	2934
70	221	2904
71	223	2876
72	224	2849
73	225	2820
74	226	2794
75	227	2770
76	229	2747
77	230	2722
78	231	2698
79	232	2674
80	233	2652
81	234	2628
82	236	2613
83	237	2591
84	238	2569
85	239	2546
86	240	2523
87	241	2503
88	242	2483
89	243	2462
90	244	2441
91	245	2420
92	246	2400
93	247	2380
94	248	2363
95	249	2345
96	249	2325
97	250	2308
98	251	2290
99	252	2272
100	253	2253
101	253	2235
102	254	2218
103	255	2200
104	256	2184
105	257	2167
106	257	2151
107	258	2134
108	259	2118
109	259	2102
110	260	2086
111	261	2070
112	261	2055
113	262	2040
114	263	2025
115	263	2010
116	264	1995
117	264	1980
118	265	1965
119	266	1951
120	266	1936
121	267	1921
122	267	1907
123	268	1894
124	268	1880
125	269	1867
126	269	1854
127	270	1841
128	270	1828
129	271	1816
130	271	1803
131	272	1790
132	272	1778
133	273	1766
134	273	1754
135	274	1743
136	274	1732
137	275	1721
138	276	1709
139	276	1698
140	277	1688
141	277	1677
142	278	1666
143	278	1656
144	279	1646
145	279	1636
146	280	1626
147	280	1616
148	281	1606
149	281	1597
150	282	1587
151	282	1578
152	283	1568
153	283	1559
154	284	1550
155	284	1541
156	285	1532
157	285	1523
158	286	1514
159	286	1506
160	287	1497
161	287	1489
162	288	1481
163	289	1473
164	289	1465
165	290	1457
166	290	1450
167	291	1442
168	291	1435
169	292	1427
170	292	1419
171	293	1412
172	293	1405
173	294	1397
174	294	1390
175	295	1383
176	295	1376
177	296	1369
178	297	1362
179	297	1355
180	298	1348
181	298	1341
182	299	1335
183	299	1328
184	300	1322
185	300	1316
186	301	1309
187	301	1303
188	302	1296
189	302	1290
190	303	1284
191	303	1278
192	304	1272
193	304	1266
194	305	1260
195	305	1254
196	306	1248
197	306	1242
198	307	1237
199	307	1231
200	308	1225
201	308	1220
202	309	1215
203	310	1210
204	310	1204
205	311	1199
206	311	1194
207	312	1188
208	312	1183
209	313	1178
210	313	1173
211	314	1168
212	314	1162
213	315	1157
214	315	1152
215	316	1147
216	316	1142
217	317	1138
218	317	1133
219	318	1128
220	318	1123
221	319	1119
222	319	1114
223	320	1109
224	320	1105
225	321	1100
226	321	1095
227	322	1091
228	322	1086
229	323	1082
230	323	1077
231	324	1073
232	324	1069
233	325	1064
234	325	1060
235	326	1056
236	326	1052
237	327	1048
238	327	1044
239	328	1040
240	328	1036
241	329	1031
242	329	1027
243	330	1023
244	331	1020
245	331	1016
246	332	1012
247	332	1008
248	333	1004
249	333	1000
250	334	996
251	334	993
252	335	989
253	335	986
254	336	982
255	336	979
256	337	975
257	338	972
258	338	968
259	339	965
260	339	961
261	340	958
262	340	955
263	341	951
264	341	948
265	342	944
266	342	941
267	343	938
268	344	935
269	344	932
270	345	928
271	345	925
272	346	922
273	346	919
274	347	915
275	347	912
276	348	909
277	348	906
278	349	902
279	349	899
280	350	896
281	350	893
282	351	890
283	352	887
284	352	884
285	353	882
286	353	879
287	354	875
288	354	872
289	355	870
290	355	867
291	356	864
292	357	861
293	357	858
294	358	855
295	358	852
296	359	850
297	359	847
298	360	845
299	361	843
300	361	840
301	362	837
302	362	834
303	363	832
304	364	829
305	364	826
306	365	824
307	365	821
308	366	819
309	366	816
310	367	814
311	368	812
312	368	809
313	369	807
314	370	804
315	370	802
316	371	799
317	371	797
318	372	794
319	372	792
320	373	789
321	373	787
322	374	784
323	375	782
324	375	779
325	376	777
326	376	775
327	377	772
328	377	770
329	378	768
330	379	766
331	379	763
332	380	761
333	380	758
334	381	756
335	381	754
336	382	751
337	382	749
338	383	747
339	383	745
340	384	742
341	384	740
342	385	738
343	385	735
344	386	733
345	387	731
346	387	729
347	388	727
348	388	725
349	389	723
350	390	721
351	390	719
352	391	717
353	391	715
354	392	712
355	392	710
356	393	708
357	393	706
358	394	704
359	395	702
360	395	700
361	396	698
362	396	696
363	397	693
364	397	691
365	398	689
366	398	687
367	399	685
368	399	683
369	400	681
370	400	679
371	401	677
372	401	675
373	402	673
374	402	671
375	403	669
376	404	667
377	404	665
378	405	663
379	405	661
380	406	659
381	406	657
382	407	655
383	407	654
384	408	652
385	409	650
386	409	648
387	410	647
388	410	645
389	411	643
390	412	641
391	412	639
392	412	637
393	413	635
394	414	634
395	414	632
396	415	630
397	415	628
398	416	626
399	416	624
400	417	623
401	417	621
402	418	619
403	418	617
404	419	615
405	419	613
406	420	612
407	420	610
408	420	608
409	421	606
410	421	604
411	422	602
412	422	600
413	423	599
414	423	597
415	424	595
416	424	593
417	425	592
418	425	590
419	426	588
420	427	587
421	427	585
422	428	584
423	428	582
424	429	580
425	429	579
426	430	577
427	430	575
428	431	574
429	431	572
430	432	570
431	432	568
432	433	567
433	433	565
434	433	563
435	434	561
436	434	560
437	435	558
438	435	556
439	436	555
440	436	553
441	436	551
442	437	549
443	437	548
444	438	546
445	438	544
446	438	543
447	439	541
448	439	539
449	440	538
450	440	536
451	441	534
452	441	533
453	441	531
454	442	530
455	442	528
456	443	526
457	443	525
458	444	523
459	444	522
460	445	520
461	445	518
462	446	517
463	446	515
464	446	514
465	447	512
466	447	511
467	448	509
468	448	507
469	448	506
470	449	504
471	449	503
472	450	501
473	450	500
474	451	498
475	451	497
476	451	495
477	452	493
478	452	492
479	453	490
480	453	489
481	453	487
482	454	486
483	454	484
484	455	483
485	455	481
486	456	480
487	456	479
488	456	477
489	457	476
490	457	474
491	458	473
492	458	471
493	459	470
494	459	468
495	459	467
496	460	465
497	460	464
498	461	463
499	461	461
500	462	460
501	462	458
502	463	457
503	463	456
504	463	454
505	464	453
506	464	451
507	465	450
508	465	449
509	466	447
510	466	446
511	466	444
512	467	443
513	467	442
514	468	440
515	468	439
516	469	438
517	469	436
518	469	435
519	470	434
520	470	432
521	471	431
522	471	430
523	471	428
524	472	427
525	472	426
526	473	424
527	473	423
528	474	422
529	474	420
530	474	419
531	475	418
532	475	416
533	476	415
534	476	414
535	477	413
536	477	411
537	478	410
538	478	409
539	478	407
540	479	406
541	479	405
542	480	404
543	480	402
544	480	401
545	481	400
546	481	398
547	482	397
548	482	396
549	483	395
550	483	394
551	483	392
552	484	391
553	484	390
554	485	389
555	485	387
556	486	386
557	486	385
558	487	384
559	487	382
560	487	381
561	488	380
562	488	379
563	489	378
564	489	376
565	489	375
566	490	374
567	490	373
568	491	372
569	491	370
570	491	369
571	492	368
572	492	367
573	493	366
574	493	364
575	494	363
576	494	362
577	494	361
578	495	360
579	495	359
580	496	357
581	496	356
582	497	355
583	497	354
584	498	353
585	498	352
586	499	351
587	499	350
588	500	349
589	500	347
590	501	346
591	501	345
592	502	344
593	502	343
594	503	342
595	503	341
596	504	340
597	504	339
598	505	338
599	505	337
600	506	336
601	506	335
602	507	334
603	507	332
604	508	331
605	508	330
606	509	329
607	509	328
608	510	327
609	510	326
610	511	325
611	511	324
612	512	323
613	512	322
614	513	321
615	513	320
616	514	319
617	514	318
618	515	317
619	515	316
620	516	315
621	516	314
622	517	313
623	517	312
624	518	311
625	518	310
626	519	309
627	519	307
628	520	306
629	521	305
630	521	304
631	522	304
632	522	303
633	523	301
634	523	300
635	524	299
636	524	299
637	525	298
638	525	297
639	526	296
640	526	295
641	527	294
642	528	293
643	528	292
644	529	291
645	530	290
646	530	289
647	531	288
648	531	287
649	532	286
650	532	285
651	533	284
652	533	283
653	534	282
654	534	281
655	535	280
656	536	279
657	536	278
658	537	277
659	537	277
660	538	276
661	539	275
662	539	274
663	540	273
664	540	272
665	541	271
666	542	270
667	542	269
668	543	268
669	543	267
670	544	266
671	544	265
672	545	265
673	545	264
674	546	263
675	547	262
676	548	261
677	549	260
678	549	259
679	550	258
680	550	258
681	551	257
682	552	256
683	552	255
684	553	254
685	553	253
686	554	252
687	554	251
688	555	250
689	556	249
690	556	248
691	557	247
692	557	247
693	558	246
694	558	245
695	559	244
696	559	243
697	560	242
698	561	241
699	561	240
700	562	239
701	562	238
702	563	238
703	564	237
704	564	236
705	565	235
706	565	234
707	566	233
708	566	232
709	567	231
710	568	230
711	568	229
712	568	229
713	569	228
714	570	227
715	570	226
716	571	225
717	571	224
718	571	223
719	572	222
720	573	221
721	573	220
722	574	220
723	574	219
724	575	218
725	575	217
726	576	216
727	576	215
728	577	214
729	578	213
730	578	212
731	579	212
732	579	211
733	580	210
734	580	209
735	581	208
736	582	207
737	582	206
738	583	205
739	583	205
740	584	204
741	584	203
742	585	202
743	586	201
744	586	200
745	587	199
746	587	199
747	588	198
748	588	197
749	589	196
750	589	195
751	590	194
752	591	193
753	591	193
754	592	192
755	592	191
756	593	190
757	593	189
758	594	188
759	595	187
760	595	187
761	596	186
762	596	185
763	597	184
764	598	183
765	598	182
766	599	182
767	599	181
768	600	180
769	601	179
770	601	178
771	602	177
772	602	176
773	603	176
774	603	175
775	604	174
776	604	173
777	605	172
778	605	171
779	606	171
780	606	170
781	607	169
782	608	168
783	608	167
784	609	166
785	609	165
786	610	165
787	610	164
788	611	163
789	611	162
790	612	161
791	613	161
792	613	160
793	614	159
794	614	158
795	615	157
796	615	156
797	616	156
798	616	155
799	617	154
800	617	153
801	618	152
802	619	151
803	619	151
804	619	150
805	620	149
806	621	148
807	621	147
808	622	146
809	623	146
810	623	145
811	624	144
812	624	143
813	625	142
814	625	142
815	626	141
816	627	140
817	627	139
818	627	138
819	628	137
820	628	137
821	629	136
822	629	135
823	630	134
824	631	133
825	631	133
826	632	132
827	632	131
828	633	130
829	633	129
830	634	128
831	634	128
832	635	127
833	635	126
834	636	125
835	636	124
836	638	124
837	638	123
838	639	122
839	639	121
840	640	121
841	640	120
842	641	119
843	641	118
844	642	117
845	642	117
846	643	116
847	643	115
848	644	114
849	644	113
850	644	112
851	645	112
852	645	111
853	646	110
854	646	109
855	647	108
856	647	108
857	648	107
858	648	106
859	648	105
860	649	104
861	649	104
862	650	103
863	650	102
864	651	101
865	651	100
866	651	99
867	652	99
868	652	98
869	653	97
870	653	96
871	653	95
872	654	95
873	654	94
874	655	93
875	655	92
876	656	92
877	656	91
878	656	90
879	657	89
880	657	88
881	657	88
882	658	87
883	658	86
884	659	85
885	659	84
886	660	84
887	660	83
888	660	82
889	661	81
890	661	80
891	662	80
892	662	79
893	663	78
894	663	77
895	663	77
896	664	76
897	665	75
898	665	74
899	666	74
900	666	73
901	666	72
902	667	71
903	667	70
904	668	70
905	668	69
906	668	68
907	669	67
908	669	67
909	670	66
910	670	65
911	671	64
912	671	63
913	671	63
914	672	62
915	672	61
916	673	60
917	673	60
918	674	59
919	674	58
920	674	57
921	675	57
922	675	56
923	676	55
924	676	54
925	677	54
926	677	53
927	678	52
928	678	51
929	678	51
930	679	50
931	679	49
932	680	48
933	680	48
934	681	47
935	681	46
936	681	45
937	682	45
938	682	44
939	683	43
940	683	42
941	684	42
942	684	41
943	684	40
944	685	39
945	685	39
946	686	38
947	686	37
948	687	36
949	687	36
950	687	35
951	688	34
952	688	33
953	689	33
954	689	32
955	690	31
956	690	31
957	690	30
958	691	29
959	691	28
960	692	28
961	692	27
962	693	26
963	694	25
964	694	25
965	695	24
966	695	23
967	696	23
968	696	22
969	697	21
970	697	20
971	698	20
972	698	19
973	698	18
974	699	17
975	699	17
976	700	16
977	700	15
978	701	15
979	701	14
980	702	13
981	702	12
982	703	12
983	703	11
984	703	10
985	704	10
986	705	9
987	705	8
988	706	7
989	706	7
990	707	6
991	707	5
992	708	4
993	708	4
994	709	3
995	709	2
996	710	2
997	711	1
998	711	0
999	711	0
